Source, Statistic, mean, standard deviation, number of connections, z, p
HepEven, HepDown sources,11.811,3.127503637,10,-0.579056081,0.281275666
SALL2,  sources,5.182,2.029501417,4,-0.582409054,0.280145592
MAF, HepUp sources,1.753,1.289957751,1,-0.583740048,0.279697609
MAX,  sources,10.76,3.006393188,9,-0.585419102,0.279132974
ARID5B, HepUp sources,2.968,1.651355807,2,-0.586184998,0.278875601
CEBPA, HepUp sources,1.76,1.295530779,1,-0.586632145,0.278725394
ZNF446, HepEven sources,2.967,1.645573152,2,-0.5876372,0.278387918
ZMAT3,  sources,8.513,2.567066614,7,-0.589388679,0.277800285
CREB3L1,  sources,4.058,1.793498258,3,-0.589908574,0.277625973
EndoDown, HepDown targets,1.794,1.342223528,1,-0.591555716,0.277074068
GLI2, HepDown targets,1.794,1.342223528,1,-0.591555716,0.277074068
HepDown, EndoDown sources,1.794,1.342223528,1,-0.591555716,0.277074068
THAP4,  sources,9.693,2.85950188,8,-0.59206116,0.276904817
GABPA, HepUp sources,1.774,1.306493016,1,-0.59242567,0.276782791
EndoDown, EndodUP targets,2.973,1.637764025,2,-0.594102682,0.276221718
GLI2, EndodUP targets,2.973,1.637764025,2,-0.594102682,0.276221718
EndodUP, EndoDown sources,2.973,1.637764025,2,-0.594102682,0.276221718
ZFP42,  sources,12.917,3.216847991,11,-0.595924957,0.27561268
ZNF620, HepUp sources,1.739,1.234049837,1,-0.598841293,0.274639362
ZNF644, ESCDown sources,1.812,1.352278078,1,-0.600468212,0.27409712
ZNF385A, HepEven sources,3.015,1.681896251,2,-0.6034855,0.273092879
NR2F2, HepDown targets,9.83,3.032012533,8,-0.60355951,0.273068269
CREB3L2, HepUp sources,1.796,1.315440611,1,-0.605120439,0.272549487
TFAP4,  targets,77.84,7.970094102,73,-0.60727012,0.271835832
POU5F1, HepDown targets,1.783,1.287598928,1,-0.608108614,0.27155772
ZNF563,  sources,2.916,1.505637407,2,-0.608380209,0.271467667
ZBTB4,  sources,8.599,2.623013343,7,-0.609604219,0.271062008
TFAP4, ESCDown targets,14.34,3.837499186,12,-0.609772116,0.271006387
POU2F3, ESCUp sources,1.797,1.306824778,1,-0.609875183,0.270972247
ZSCAN10, HepEven sources,1.802,1.304912258,1,-0.61460071,0.269409223
POU2F3, ESCUp targets,1.826,1.34228313,1,-0.615369427,0.269155389
GATA3,  sources,7.495,2.429398074,6,-0.615378771,0.269152304
LENG9,  sources,7.573,2.545323359,6,-0.617996136,0.268288943
NR3C1, ESCDown targets,4.282,2.058270147,3,-0.622853128,0.266690521
ZBTB10,  sources,4.156,1.855172229,3,-0.623122739,0.266601934
TFAP4, HepUp targets,16.47,3.962966061,14,-0.623270541,0.266553377
PPARD, HepDown targets,1.855,1.37039228,1,-0.623908944,0.266343693
CEBPA, ESCUp targets,3.087,1.74052607,2,-0.624523826,0.266141814
RBM22,  sources,4.179,1.882274953,3,-0.626369701,0.265536239
BNC1, HepEven sources,1.791,1.259888487,1,-0.627833342,0.265056561
MAFB, HepDown targets,3.06,1.68,2,-0.630952381,0.26403583
THAP4, ESCDown sources,1.834,1.316982916,1,-0.633265618,0.263280101
HNF4A, ESCDown sources,3.116,1.761971623,2,-0.63338137,0.263242314
SMAD6, EndodUP sources,1.88,1.388380351,1,-0.633832076,0.263095209
MAF, HepEven targets,7.764,2.76880913,6,-0.637097003,0.26203083
HNF4A, ESCUp targets,7.76,2.761593743,6,-0.637313147,0.261960444
ZNF507, HepEven sources,1.844,1.321992436,1,-0.638430279,0.261596813
ATF1, ESCUp targets,3.172,1.833689178,2,-0.639148671,0.26136311
TEAD3, ESCDown sources,1.848,1.324724877,1,-0.640132917,0.261043095
ZZZ3,  sources,8.67,2.585556033,7,-0.645895884,0.259173393
ESCDown, EndodUP sources,55.554,7.048622844,51,-0.646083654,0.259112591
EndodUP, ESCDown targets,55.554,7.048622844,51,-0.646083654,0.259112591
ETV5, EndodUP sources,1.861,1.330292825,1,-0.647225922,0.258742868
ZFP36L1, ESCUp sources,1.891,1.373724499,1,-0.648601667,0.258297939
FBN1, HepEven sources,1.88,1.347442021,1,-0.653089325,0.256849347
ATF6, HepEven targets,3.133,1.726647329,2,-0.656184955,0.255852564
NKX2-5, ESCDown sources,1.923,1.406083568,1,-0.656433246,0.255772703
KLF6, HepEven sources,1.889,1.348584072,1,-0.659209921,0.254880488
ZNF841,  sources,3.01,1.525745719,2,-0.66197138,0.253994782
MBNL3, HepUp sources,1.871,1.31086193,1,-0.664448314,0.253201709
TFAP4, EndodUP targets,11.155,3.228772987,9,-0.667436208,0.252246772
FOXJ2, ESCUp targets,3.152,1.725947856,2,-0.66745933,0.25223939
TCF19,  sources,5.385,2.069969807,4,-0.669091885,0.251718433
PPARA, HepEven sources,1.878,1.31115064,1,-0.669640828,0.25154339
GATA5, HepEven sources,1.911,1.358336851,1,-0.67067311,0.251214398
SP100, HepEven sources,3.139,1.698139865,2,-0.670733915,0.251195027
ATF1, HepEven targets,4.346,1.999570954,3,-0.673144405,0.250427713
NANOG, ESCDown targets,1.962,1.427079535,1,-0.674103984,0.250122603
IRX3, HepEven sources,1.849,1.248278414,1,-0.680136731,0.248208944
SOX11, HepEven sources,1.945,1.385631625,1,-0.681999446,0.247619651
USF1, EndoDown targets,1.904,1.321659563,1,-0.683988544,0.2469912
MSX2, HepEven sources,1.888,1.296709682,1,-0.684810187,0.246731853
ATF1, HepDown targets,1.966,1.401728932,1,-0.689148934,0.245364774
KLF10, ESCDown sources,3.292,1.862991143,2,-0.693508396,0.243995279
EndoDown, HepUp sources,15.747,3.952845937,13,-0.694942339,0.243545719
HepUp, EndoDown targets,15.747,3.952845937,13,-0.694942339,0.243545719
ZBTB16, HepEven sources,3.223,1.75876974,2,-0.695372437,0.243410965
ZBTB22, ESCDown sources,1.941,1.352597131,1,-0.695698651,0.243308785
ZFP36L1, HepUp sources,3.25,1.791507745,2,-0.697736308,0.242671059
ZNF503,  sources,8.863,2.663875185,7,-0.699357091,0.242164448
DSP, HepEven sources,1.923,1.318738412,1,-0.699911363,0.24199133
BNC1,  sources,6.636,2.33398886,5,-0.700945933,0.241668379
NEUROD2, HepEven sources,1.98,1.396996779,1,-0.701504839,0.241494008
ZBTB7C, HepEven sources,3.273,1.81451674,2,-0.701564208,0.24147549
RAPGEF4, HepEven sources,3.285,1.826957854,2,-0.703355032,0.240917261
BRD9, ESCDown sources,2.009,1.433498866,1,-0.703872199,0.240756183
ZIC3, HepUp targets,3.281,1.818801528,2,-0.704309943,0.240619888
PPARA, ESCDown targets,12.44,3.450854967,10,-0.707071153,0.239761131
EndoDown, HepEven sources,20.005,4.235914895,17,-0.709409909,0.23903507
HepEven, EndoDown targets,20.005,4.235914895,17,-0.709409909,0.23903507
FOXJ2, HepDown targets,2.017,1.433426315,1,-0.709488859,0.239010581
MAFB, HepEven sources,1.949,1.333566271,1,-0.711625677,0.238348301
ZNF747,  sources,4.325,1.857787663,3,-0.713213908,0.237856701
BACH2, EndodUP targets,5.763,2.439842413,4,-0.722587652,0.234966628
ZNF232, HepUp sources,1.969,1.339417411,1,-0.723448861,0.234702081
DNAJC1, HepEven sources,2.036,1.431329452,1,-0.723802615,0.234593462
KLF10, ESCUp sources,2.034,1.427180437,1,-0.724505447,0.234377742
TFAP2A,  targets,225.427,13.01063684,216,-0.724560997,0.234360697
MAFG, HepUp targets,7.993,2.7504456,6,-0.72460986,0.234345704
TFAP2A, HepEven targets,43.491,6.197412283,39,-0.724657292,0.234331151
LARP7, HepEven sources,2.007,1.387426034,1,-0.725804458,0.233979327
NKX3-2,  sources,5.541,2.116676404,4,-0.728028147,0.233298178
MAF, EndodUP targets,5.711,2.34722794,4,-0.72894497,0.233017663
NR3C1, EndodUP targets,3.305,1.788288288,2,-0.729748111,0.232772084
MEIS2, ESCDown sources,1.976,1.333950524,1,-0.731661319,0.232187656
HNF4A, ESCUp sources,2.003,1.368572614,1,-0.732880367,0.231815699
STAT6, HepEven targets,4.502,2.048413044,3,-0.733250554,0.231702813
HNF4A, HepEven sources,4.45,1.976233792,3,-0.733718858,0.231560051
CARHSP1, HepEven sources,2.04,1.415768343,1,-0.734583455,0.231296609
U2AF1,  sources,5.565,2.127386895,4,-0.73564428,0.230973604
FOXO4, HepUp sources,2.009,1.369276816,1,-0.736885331,0.230596043
SSH2, HepEven sources,1.972,1.317275977,1,-0.737886378,0.230291749
GATA3, HepEven sources,2.038,1.394473377,1,-0.744367025,0.228327231
NR3C1, ESCUp targets,3.344,1.798795152,2,-0.74716679,0.227481444
ZNF620,  sources,7.822,2.431114148,6,-0.749450618,0.226792826
ZNF253,  sources,1.924,1.232162327,1,-0.749901194,0.226657108
HepDown, EndodUP sources,26.83,5.096577283,23,-0.751484729,0.226180494
EndodUP, HepDown targets,26.83,5.096577283,23,-0.751484729,0.226180494
STAT6, HepDown targets,2.019,1.353749977,1,-0.752723928,0.225807914
KLF8,  sources,3.234,1.632557503,2,-0.755869241,0.224863799
STAT6, EndodUP targets,3.388,1.833427392,2,-0.757052069,0.224509334
MAFG, HepDown targets,3.335,1.762604607,2,-0.757401856,0.224404572
DDIT3,  sources,7.872,2.470549736,6,-0.757726093,0.224307487
LEF1, ESCUp targets,2.129,1.481336896,1,-0.762149382,0.222985426
MAF, HepDown targets,3.403,1.839182155,2,-0.762839067,0.222779689
EndodUP, HepEven sources,80.761,8.842051742,74,-0.764641533,0.222242515
HepEven, EndodUP targets,80.761,8.842051742,74,-0.764641533,0.222242515
MAF, HepUp targets,8.167,2.832156599,6,-0.765141306,0.222093703
MSX2,  sources,6.738,2.271421581,5,-0.765159587,0.22208826
DMTF1, HepEven sources,2.069,1.395793323,1,-0.765872699,0.221876026
LEF1, ESCDown sources,2.034,1.346418954,1,-0.767963045,0.22125457
FOXA1,  targets,26.539,4.581318478,23,-0.772485043,0.219913601
DMAP1, HepEven sources,2.061,1.370138314,1,-0.774374374,0.219354717
ZFX, HepEven sources,2.049,1.353735203,1,-0.77489305,0.21920143
ATXN7, ESCDown sources,3.373,1.768578808,2,-0.776329556,0.218777213
TGIF1, EndodUP sources,3.42,1.821976948,2,-0.779373198,0.217879954
EndodUP, EndodUP sources,43.228,6.644848832,38,-0.786774859,0.215706837
EndodUP, EndodUP targets,43.228,6.644848832,38,-0.786774859,0.215706837
PLXNA2, HepEven sources,2.076,1.366829909,1,-0.787223043,0.215575655
MEIS3,  sources,10.284,2.895055094,8,-0.788931445,0.215076038
JDP2, EndodUP sources,2.09,1.379818829,1,-0.789958781,0.21477592
STAT6,  targets,23.402,4.293063708,20,-0.79244107,0.21405177
TSC22D3, EndodUP sources,2.096,1.380863498,1,-0.793706258,0.213683228
KNTC1,  sources,4.52,1.914575671,3,-0.793909597,0.213624031
ARNT, EndoDown targets,2.2,1.511290839,1,-0.794023208,0.21359096
RUNX1, EndodUP targets,2.127,1.408854499,1,-0.799940661,0.211872589
BACH2, HepEven sources,2.145,1.424069872,1,-0.804033582,0.21068879
ZBTB5, HepUp sources,2.126,1.400044285,1,-0.804260274,0.210623338
CEBPA, HepEven sources,2.073,1.328032756,1,-0.807961999,0.209556229
POU2F3, EndodUP sources,2.203,1.486536579,1,-0.809263638,0.209181758
NFIB, HepEven sources,2.128,1.393418817,1,-0.809519712,0.209108134
HNF4A, HepDown targets,4.761,2.175288257,3,-0.809547882,0.209100036
FOXN3,  sources,12.474,3.052756787,10,-0.810415036,0.20885084
ZNF556, HepEven sources,2.088,1.332012012,1,-0.816809451,0.207018665
CBFB, EndodUP targets,2.227,1.500490253,1,-0.817732736,0.206754907
SMAD3, ESCUp targets,4.777,2.171927945,3,-0.818167105,0.206630888
ZNF589, EndodUP targets,3.527,1.853987864,2,-0.823629987,0.205074916
ZNF521,  sources,2.053,1.273652621,1,-0.826756042,0.204187675
RFX5, ESCDown targets,2.217,1.463526904,1,-0.831552872,0.202830687
DEK, HepEven sources,2.17,1.40609388,1,-0.832092378,0.202678402
ZNF32,  sources,4.614,1.924838695,3,-0.838511822,0.200871656
RAPGEF4, ESCDown sources,2.222,1.445239081,1,-0.845534844,0.198906143
ATF6, HepUp targets,3.502,1.768614147,2,-0.849252508,0.197870401
ZNF620, HepEven sources,2.206,1.413352044,1,-0.85329059,0.196749088
HMGB2, ESCDown sources,2.235,1.444913492,1,-0.85472245,0.19635241
ATF6,  targets,16.065,3.579493679,13,-0.856266353,0.195925234
USF1, HepDown targets,4.779,2.074164651,3,-0.857694686,0.195530537
HepUp, HepEven sources,118.027,10.51847285,109,-0.858204431,0.195389795
HepEven, HepUp targets,118.027,10.51847285,109,-0.858204431,0.195389795
GATA6,  targets,3.41,1.638261273,2,-0.860668578,0.194710302
EPAS1, HepEven sources,3.574,1.813428797,2,-0.867969012,0.192705649
H1F0,  sources,5.816,2.091445433,4,-0.86829901,0.192615332
ATF6, EndodUP targets,2.303,1.499730309,1,-0.868822876,0.192472009
FOXN3, ESCDown sources,2.362,1.563635507,1,-0.871046989,0.191864249
MEIS2, HepUp sources,2.273,1.452057506,1,-0.876687042,0.190328323
BACH2,  targets,40.103,5.817249436,35,-0.877218702,0.19018393
EPAS1,  sources,12.818,3.203572381,10,-0.879642994,0.18952637
TSHZ3, HepEven sources,2.293,1.468043255,1,-0.880764238,0.18922272
RAPGEF4,  sources,11.697,3.059933169,9,-0.881391799,0.189052898
FOSL2,  sources,4.708,1.934098239,3,-0.883098886,0.188591423
HepEven, HepEven targets,108.343,9.432462616,100,-0.884498602,0.188213558
HepEven, HepEven sources,108.343,9.432462616,100,-0.884498602,0.188213558
TEAD3,  sources,9.36,2.662404928,7,-0.886416629,0.187696531
FOXA1, HepDown targets,2.396,1.57390724,1,-0.886964596,0.187548981
TFAP2A, HepUp sources,2.265,1.424350729,1,-0.888123953,0.18723704
MAFB, EndodUP targets,5,2.248999778,3,-0.889284214,0.186925177
GRHL2, HepEven sources,2.305,1.452575299,1,-0.898404372,0.184485003
SMAD6, ESCDown sources,2.39,1.545930141,1,-0.899135067,0.184290361
CREM, HepDown targets,2.307,1.450086549,1,-0.901325511,0.183707637
MINK1, HepEven sources,2.346,1.492743782,1,-0.901695265,0.183609385
PLAGL1, ESCDown sources,2.384,1.532496003,1,-0.903101866,0.183235917
MTA3,  sources,5.974,2.184336055,4,-0.903707099,0.183075367
MAFG,  targets,38.065,5.592921866,33,-0.905608932,0.18257144
POU5F1,  sources,8.322,2.537777768,6,-0.914973734,0.18010271
SMAD3, ESCUp sources,2.434,1.561935978,1,-0.918091407,0.179285507
DZIP1,  sources,6.055,2.23472034,4,-0.919578152,0.178896624
ZZZ3, HepEven sources,2.37,1.488321202,1,-0.920500224,0.178655708
ZFP36L1, EndodUP sources,2.364,1.481723321,1,-0.920549728,0.17864278
ARNT, HepEven sources,2.457,1.574849517,1,-0.92516776,0.177439325
CEBPB, HepEven sources,2.368,1.473966078,1,-0.928108197,0.176675724
CREM, ESCUp targets,3.903,2.049290365,2,-0.928614135,0.176544547
NKX2-5, HepUp targets,2.468,1.573205645,1,-0.933126578,0.175377309
ATF1,  targets,21.97,4.234276798,18,-0.93758632,0.174228522
SSH2,  sources,7.226,2.361551185,5,-0.942600785,0.172942569
ARID5B, ESCDown targets,9.895,3.064959217,7,-0.944547642,0.172444934
MAX, EndoDown targets,2.501,1.56332946,1,-0.960130311,0.168494818
RFX5, HepUp targets,2.491,1.547875641,1,-0.963255678,0.167709615
YEATS2,  sources,6.116,2.19511822,4,-0.963957194,0.167533694
MAFB,  targets,35.072,5.253647876,30,-0.965424429,0.167166135
NR3C1,  targets,23.206,4.341838781,19,-0.968713997,0.166343953
ZNF503, HepEven sources,2.447,1.488351773,1,-0.972216398,0.165471452
RAPGEF4, HepUp sources,2.567,1.609195762,1,-0.973778354,0.165083302
CREM, HepEven targets,5.182,2.225955076,3,-0.980253386,0.163480529
ZFP42, ESCDown sources,2.509,1.52509639,1,-0.989445657,0.161222573
NFIB,  targets,23.251,4.281821925,19,-0.99280168,0.160403306
TFAP2A, HepUp targets,47.766,6.797443931,41,-0.995374154,0.159777162
NR2F2, EndoDown targets,3.928,1.935669393,2,-0.99603786,0.159615875
HepDown, HepDown targets,5.312,2.314012965,3,-0.999130098,0.158865836
HepDown, HepDown sources,5.312,2.314012965,3,-0.999130098,0.158865836
ZNF14,  sources,2.438,1.427640011,1,-1.007256724,0.15690571
TOX3,  sources,4.946,1.929529476,3,-1.008536031,0.1565986
MBNL1, HepEven sources,2.568,1.550282555,1,-1.011428526,0.155905687
TEAD3, HepEven sources,2.599,1.573594293,1,-1.016145017,0.154780167
ZNF267,  sources,6.202,2.163144933,4,-1.017962304,0.154347935
MAFG, EndodUP targets,5.368,2.325204507,3,-1.018405045,0.154242753
LEF1, ESCDown targets,2.59,1.5400974,1,-1.032402237,0.150941862
ESCUp, EndodUP targets,35.907,5.704590345,30,-1.035481891,0.15022196
EndodUP, ESCUp sources,35.907,5.704590345,30,-1.035481891,0.15022196
TFAP2A, HepEven sources,2.749,1.660722433,1,-1.053156124,0.146134722
KLF10,  sources,16.973,3.764342041,13,-1.055430127,0.145614325
MBD3,  sources,3.859,1.760431481,2,-1.055991113,0.145486137
PLXNA2,  sources,7.614,2.469616165,5,-1.058464079,0.144921959
NFYB,  sources,3.835,1.713410342,2,-1.070963537,0.142092913
ZFHX3,  sources,7.813,2.619547862,5,-1.073849438,0.141445084
DLX3,  sources,3.941,1.790954773,2,-1.083779462,0.139231297
ZNF613, HepEven sources,2.644,1.513692175,1,-1.08608608,0.138720455
E2F3,  targets,23.898,4.504619407,19,-1.087328264,0.138445881
SMAD9,  sources,5.352,2.133564154,3,-1.102380725,0.135148094
ARNT,  sources,8.907,2.628374212,6,-1.106006894,0.134361768
HepDown, HepEven sources,49.608,6.816475336,42,-1.116119347,0.132185526
HepEven, HepDown targets,49.608,6.816475336,42,-1.116119347,0.132185526
PLEKHA4,  sources,4.071,1.84660743,2,-1.12151612,0.131034117
SOX2,  sources,4.01,1.77254055,2,-1.133965596,0.12840449
TIPARP,  sources,8.942,2.581208244,6,-1.139776307,0.127189754
KLF5,  sources,5.447,2.131007039,3,-1.148283396,0.125425796
RFX5,  sources,5.36,2.051925925,3,-1.150138985,0.125043316
PLAGL1,  sources,12.528,3.062224028,9,-1.15210382,0.124639207
NR3C1,  sources,10.442,2.960174995,7,-1.162769095,0.1224616
CEBPB, HepEven targets,4.557,2.187864484,2,-1.168719552,0.121258321
HNF1B,  sources,8.077,2.624703983,5,-1.172322677,0.120533765
ZIC2,  sources,5.388,2.032598337,3,-1.174850907,0.120027185
SCML4,  sources,4.069,1.754491094,2,-1.179259334,0.119147463
ATF1, EndodUP targets,3.078,1.75781569,1,-1.182148966,0.118573299
JUND, HepUp targets,5.848,2.406843576,3,-1.18329252,0.118346618
YBX2, HepEven sources,3.107,1.757711865,1,-1.198717516,0.115318902
NFE2, EndodUP targets,5.914,2.42623247,3,-1.201039074,0.114868022
FOSL2, HepUp targets,5.883,2.385227662,3,-1.208689655,0.113391049
PPARD, ESCUp targets,2.986,1.626592758,1,-1.220957114,0.111051129
TRIM32,  sources,6.961,2.365899195,4,-1.251532612,0.105370111
TERF2IP,  sources,4.329,1.851150723,2,-1.258136342,0.104171226
TFAP4,  sources,7.006,2.384945282,4,-1.260406275,0.10376142
DNAJC1,  sources,7.151,2.485195968,4,-1.267908061,0.102415393
GABPA,  sources,8.218,2.518427287,5,-1.277781581,0.100663225
BCL11B,  sources,4.561,1.98753088,2,-1.288533439,0.098780168
MAF,  targets,39.295,5.529916365,32,-1.319188125,0.093553114
SMAD9, ESCDown targets,4.83,2.130985687,2,-1.328023936,0.0920851
SMAD6, ESCDown targets,4.81,2.115159568,2,-1.32850497,0.092005671
RFX5,  targets,12.24,3.166133288,8,-1.339172932,0.090257191
ZFP36,  sources,4.607,1.9143017,2,-1.361854299,0.086621936
SMAD7, ESCDown targets,4.89,2.110900282,2,-1.369084094,0.085486495
SMAD1, ESCDown targets,4.827,2.052089423,2,-1.377620277,0.084160279
DMTF1,  sources,7.305,2.394154339,4,-1.380445674,0.083724733
PLAGL1, HepEven sources,3.516,1.808243346,1,-1.391405645,0.082051227
NFE2,  targets,41.058,5.759221822,33,-1.399147359,0.080884399
E2F3, HepEven sources,5.05,2.177039274,2,-1.400985291,0.080609236
HNF1B, ESCDown targets,6.393,2.415481525,3,-1.404688864,0.080056909
GLI2,  targets,20.827,4.138486559,15,-1.40800264,0.079565144
ZNF432,  sources,4.86,2.016531676,2,-1.418276754,0.07805499
RBPJ,  targets,11.52,3.170741238,7,-1.425534177,0.077001424
JUN, HepUp targets,6.531,2.475689601,3,-1.42626927,0.076895316
FOXA1, HepEven targets,5.136,2.186665041,2,-1.434147408,0.075765101
SOX17,  sources,6.155,2.19749289,3,-1.435727057,0.075540011
MIXL1,  sources,6.102,2.159536061,3,-1.436419635,0.075441485
FOXN3, HepEven sources,3.554,1.753591743,1,-1.45643934,0.072635604
HNF1B, EndodUP targets,5.242,2.193042635,2,-1.478311433,0.069662219
PPARA, HepEven targets,13.434,3.67336957,8,-1.479295752,0.069530644
ATXN7, HepUp sources,3.792,1.821739828,1,-1.532600845,0.062687117
NOC3L,  sources,4.941,1.915598862,2,-1.535290117,0.06235629
DEK,  sources,7.941,2.539590321,4,-1.551825098,0.060352039
OVOL1,  sources,6.547,2.272837654,3,-1.560604205,0.059308583
SETBP1,  sources,5.083,1.960130353,2,-1.572854579,0.057876247
GABPA, ESCDown targets,9.673,2.953315256,5,-1.582289595,0.056791737
PPARA,  sources,6.811,2.407753933,3,-1.582802939,0.056733193
EndoDown, HepEven targets,4.19,1.97886331,1,-1.612036558,0.053476992
GLI2, HepEven targets,4.19,1.97886331,1,-1.612036558,0.053476992
HepEven, EndoDown sources,4.19,1.97886331,1,-1.612036558,0.053476992
GABPA,  targets,52.379,6.437651668,42,-1.61223386,0.05345553
HMGB1,  sources,5.371,2.076862778,2,-1.623121198,0.05228175
CBFB,  sources,3.828,1.740234467,1,-1.625068377,0.052073995
TSHZ3,  sources,8.274,2.629624308,4,-1.625327233,0.052046426
SMAD3, ESCDown targets,5.951,2.397623615,2,-1.647881667,0.049688478
MAFB,  sources,6.877,2.332781816,3,-1.661964258,0.048259971
NEUROD2,  sources,7.155,2.383479599,3,-1.74324966,0.040645007
ZNF275,  sources,5.719,2.113300499,2,-1.759806521,0.039220309
E2F3, HepEven targets,4.622,2.056967671,1,-1.760844398,0.039132371
KLF10, HepEven sources,4.679,2.072187009,1,-1.77541891,0.037914372
ZFX,  sources,7.254,2.387778047,3,-1.781572624,0.037409476
ESCDown, ESCDown targets,70.085,8.41687442,55,-1.792232989,0.036547826
ESCDown, ESCDown sources,70.085,8.41687442,55,-1.792232989,0.036547826
NFIB, HepUp targets,4.964,2.173638424,1,-1.823670375,0.03410096
HepDown, ESCDown targets,11.064,3.212772012,5,-1.887466642,0.029548795
ESCDown, HepDown sources,11.064,3.212772012,5,-1.887466642,0.029548795
C20orf194,  sources,7.694,2.460561724,3,-1.907694472,0.028215358
CEBPA,  sources,7.7,2.460894146,3,-1.909874916,0.02807466
ZNF415,  sources,4.648,1.907903562,1,-1.912046329,0.027935126
GABPA, HepEven targets,10.126,3.044687833,4,-2.012028929,0.022108444
FBN1,  sources,6.742,2.332259848,2,-2.033221128,0.021015094
DSP,  sources,6.888,2.348500798,2,-2.0813278,0.018701956
CEBPB,  sources,8.409,2.598407012,3,-2.081660023,0.018686767
HepDown, HepUp targets,12.805,3.548939983,5,-2.199248237,0.013930138
HepUp, HepDown sources,12.805,3.548939983,5,-2.199248237,0.013930138
ZIC3,  targets,15.746,3.641906644,7,-2.401489345,0.008164242
EndoDown, ESCDown sources,13.537,3.481756884,5,-2.451923062,0.007104752
ESCDown, EndoDown targets,13.537,3.481756884,5,-2.451923062,0.007104752
